method,n,alpha,B,delta,Z,rejection_rate,ci_low,ci_high,avg_runtime
sss,2000,0.03,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.037280473008286207
sss,5000,0.03,100,0.05,20,0.25,0.11186005278940311,0.4687050099580635,0.1005873916496057
sss,10000,0.03,100,0.05,20,0.2,0.08065635327120002,0.4160217220257599,0.19041888135834598
sss,20000,0.03,100,0.05,20,0.7,0.4810232237710206,0.854524726031006,0.3719518415047787
sss,50000,0.03,100,0.05,20,0.9,0.6989617935882066,0.9721341060158468,0.949112145905383
sss,100000,0.03,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,2.319531525007915
sss,200000,0.03,100,0.05,20,1.0,0.8388698745050667,1.0,4.283991354168393
sss,500000,0.03,100,0.05,20,1.0,0.8388698745050667,1.0,14.098106016614475
sss,1000,0.02,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.013901620754040778
sss,2000,0.02,100,0.05,20,0.0,0.0,0.16113012549493322,0.03762147914385423
sss,5000,0.02,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.10512746438616886
sss,10000,0.02,100,0.05,20,0.2,0.08065635327120002,0.4160217220257599,0.206816508382326
sss,20000,0.02,100,0.05,20,0.3,0.14547527396899385,0.5189767762289793,0.3813985854038037
sss,50000,0.02,100,0.05,20,0.55,0.3420820083075997,0.7418049791429071,0.9695470397069584
sss,100000,0.02,100,0.05,20,0.8,0.5839782779742401,0.9193436467288,2.3280547978996764
sss,200000,0.02,100,0.05,20,1.0,0.8388698745050667,1.0,4.2795775852398945
sss,500000,0.02,100,0.05,20,1.0,0.8388698745050667,1.0,14.063024420809233
sss,1000,0.01,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.014113118732348084
sss,2000,0.01,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.04140489591518417
sss,5000,0.01,100,0.05,20,0.15,0.05236779195949584,0.36042329588695743,0.10336542290169745
sss,10000,0.01,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.19985254995990545
sss,20000,0.01,100,0.05,20,0.25,0.11186005278940311,0.4687050099580635,0.369816583400825
sss,50000,0.01,100,0.05,20,0.3,0.14547527396899385,0.5189767762289793,0.9667859604116529
sss,100000,0.01,100,0.05,20,0.3,0.14547527396899385,0.5189767762289793,2.3710954729118385
sss,200000,0.01,100,0.05,20,0.4,0.21880396741419272,0.613422057684794,4.392040737561183
sss,500000,0.01,100,0.05,20,0.9,0.6989617935882066,0.9721341060158468,14.077992356236791
sss,1000,0.005,100,0.05,20,0.0,0.0,0.16113012549493322,0.01386860404163599
sss,2000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.03761452074977569
sss,5000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.10666683130548335
sss,10000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.1979671376175247
sss,20000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,0.3796585520321969
sss,50000,0.005,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,0.9843161958386191
sss,100000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,2.4294911436038094
sss,200000,0.005,100,0.05,20,0.05,0.008881219432873136,0.23613589351256675,4.468074776948197
sss,500000,0.005,100,0.05,20,0.1,0.027865893984153234,0.30103820641179335,14.073333620809716
sss,700000,0.01,100,0.05,20,1.0,0.8388698745050667,1.0,18.46470707289409
sss,700000,0.005,100,0.05,20,0.5,0.2992949144298199,0.7007050855701801,18.205515450041275
sss,300000,0.01,100,0.05,20,0.8,0.5839782779742401,0.9193436467288,6.772171672940021
sss,400000,0.01,100,0.05,20,0.8,0.5839782779742401,0.9193436467288,10.723092601902318
sss,600000,0.01,100,0.05,20,1.0,0.8388698745050667,1.0,16.231575308355968
sss,10000,0.015,100,0.05,20,0.2,0.08065635327120002,0.4160217220257599,0.18314657910377719
sss,20000,0.015,100,0.05,20,0.15,0.05236779195949584,0.36042329588695743,0.3696757021127269
sss,50000,0.015,100,0.05,20,0.3,0.14547527396899385,0.5189767762289793,0.9590739957930055
sss,100000,0.015,100,0.05,20,0.4,0.21880396741419272,0.613422057684794,2.344294875022024
sss,200000,0.015,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,4.375093408371322
sss,300000,0.015,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,6.7351163935905785
sss,400000,0.015,100,0.05,20,1.0,0.8388698745050667,1.0,10.55946207701345
sss,500000,0.015,100,0.05,20,1.0,0.8388698745050667,1.0,14.071885810547974
sss,150000,0.03,100,0.05,20,1.0,0.8388698745050667,1.0,3.5294164019695016
sss,150000,0.02,100,0.05,20,0.95,0.7638641064874331,0.9911187805671268,3.5184665874403436
sss,300000,0.03,100,0.05,20,1.0,0.8388698745050667,1.0,7.1044800832343755
sss,400000,0.03,100,0.05,20,1.0,0.8388698745050667,1.0,11.021399274980649
